date,z_fx,y10_spread,country,z_fx_hat,res_2nd
2019-12-11,-1.2879726284794448,5.08,MXN,0.05759117217074894,-1.3455638006501938
2019-12-12,-1.1580193374471877,4.9555,MXN,0.033593147146741664,-1.1916124845939293
2019-12-13,-1.2343660013861817,5.0009999999999994,MXN,0.04236350970571623,-1.276729511091898
2019-12-16,-1.1636255670823425,4.929,MXN,0.028485133788218375,-1.192110700870561
2019-12-17,-1.2337842754043986,4.944,MXN,0.03137646210436351,-1.2651607375087621
2019-12-18,-1.2312171408678254,4.877,MXN,0.018461862292247222,-1.2496790031600726
2019-12-19,-1.2013027778451375,4.984999999999999,MXN,0.039279426168494336,-1.2405822040136318
2019-12-20,-1.197646047773306,5.016,MXN,0.04525483802186181,-1.2429008857951678
2019-12-23,-1.3252589579166545,4.966,MXN,0.035617076968043504,-1.360876034884698
2019-12-24,-1.43669272678794,5.014,MXN,0.044869327579709184,-1.481562054367649
2019-12-26,-1.5249063739538753,4.9990000000000006,MXN,0.041977999263563825,-1.5668843732174391
2019-12-27,-1.373475355741272,4.9830000000000005,MXN,0.03889391572634193,-1.412369271467614
2019-12-30,-1.3739214881234714,4.989,MXN,0.04005044705280003,-1.4139719351762714
2020-01-02,-1.2776136578756758,4.955,MXN,0.03349676953620362,-1.3111104274118794
2020-01-03,-1.395836855981917,5.003,MXN,0.04274902014786908,-1.438585876129786
2020-01-06,-1.4012824658788285,4.986000000000001,MXN,0.03947218138957109,-1.4407546472683996
2020-01-07,-1.4972179416893818,5.054,MXN,0.052579536422763695,-1.5497974781121455
2020-01-08,-1.4167965286858732,4.982,MXN,0.0387011605052654,-1.4554976891911386
2020-01-09,-1.4315186788378784,5.034,MXN,0.04872443200123633,-1.4802431108391148
2020-01-10,-1.4749035254089853,5.011,MXN,0.04429106191648002,-1.5191945873254653
2020-01-13,-1.3899430936758712,4.991,MXN,0.04043595749495288,-1.430379051170824
2020-01-14,-1.43708560912546,5.0169999999999995,MXN,0.04544759324293812,-1.4825332023683981
2020-01-15,-1.4540017623496044,5.041,MXN,0.05007371854877096,-1.5040754808983754
2020-01-16,-1.4149786674353642,5.03,MXN,0.04795341111693108,-1.4629320785522952
2020-01-17,-1.5372702602973463,5.006,MXN,0.04332728581109824,-1.5805975461084445
2020-01-20,-1.6645715667649053,5.007,MXN,0.04352004103217433,-1.7080916077970796
2020-01-21,-1.6242604189566372,5.0920000000000005,MXN,0.05990423482366558,-1.6841646537803028
2020-01-22,-1.6230678162427992,5.084,MXN,0.058362193055054634,-1.6814300092978538
2020-01-23,-1.6976131444625422,5.096,MXN,0.06067525570797083,-1.758288400170513
2020-01-24,-1.7859674252773907,5.132999999999999,MXN,0.06780719888779618,-1.853774624165187
2020-01-27,-1.7951641074301912,5.134,MXN,0.06799995410887272,-1.8631640615390639
2020-01-28,-1.8599248587655637,5.083,MXN,0.0581694378339781,-1.9180942965995418
2020-01-29,-2.1435600030290094,5.054,MXN,0.052579536422763695,-2.196139539451773
2020-01-30,-2.1554873246912707,5.061999999999999,MXN,0.05412157819137464,-2.2096089028826453
2020-01-31,-2.200788677257731,5.105,MXN,0.062410052697658536,-2.2631987299553895
2020-02-03,-2.079453377258829,5.106999999999999,MXN,0.06279556313981116,-2.1422489403986402
2020-02-04,-2.088734314648344,5.057,MXN,0.053157802085992856,-2.1418921167343368
2020-02-05,-2.2238838731570914,5.012,MXN,0.04448381713755678,-2.268367690294648
2020-02-06,-2.24259142149773,5.003,MXN,0.0427490201478693,-2.2853404416455994
2020-02-07,-2.215156306048744,5.052,MXN,0.05219402598061107,-2.267350332029355
2020-02-10,-2.233803867754621,5.019,MXN,0.04583310368509119,-2.2796369714397122
2020-02-11,-2.342618053655742,4.959,MXN,0.034267790420509314,-2.3768858440762513
2020-02-12,-2.299421689406609,4.948,MXN,0.03214748298866965,-2.3315691723952785
2020-02-13,-2.3589849009681956,4.955,MXN,0.03349676953620362,-2.392481670504399
2020-02-14,-2.423857241161863,4.963,MXN,0.03503881130481501,-2.458896052466678
2020-02-17,-2.473124387873341,4.971,MXN,0.03658085307342551,-2.5097052409467664
2020-02-18,-2.5532936409277327,4.975,MXN,0.03735187395773121,-2.590645514885464
2020-02-19,-2.6952780298563543,4.952,MXN,0.0329185038729749,-2.7281965337293292
2020-02-20,-2.8016917552682776,5.028,MXN,0.047567900674778674,-2.8492596559430563
2020-02-21,-2.654417463185848,5.0600000000000005,MXN,0.053736067749222016,-2.70815353093507
2020-02-24,-2.6184204647908946,5.132,MXN,0.06761444366672054,-2.686034908457615
2020-02-25,-2.509699475813144,5.115,MXN,0.06433760490842211,-2.574037080721566
2020-02-26,-2.4227167962099805,5.1739999999999995,MXN,0.07571016295192745,-2.498426959161908
2020-02-27,-1.9487330503614768,5.413,MXN,0.1217786607891782,-2.070511711150655
2020-02-28,-1.6917969113044689,5.6850000000000005,MXN,0.17420808092194906,-1.866004992226418
2020-03-02,-1.5713528197042574,5.404,MXN,0.12004386379949072,-1.6913966835037482
2020-03-03,-1.9649850589324043,5.4239999999999995,MXN,0.12389896822101809,-2.0888840271534224
2020-03-04,-2.063512540193813,5.247,MXN,0.08978129409050206,-2.153293834284315
2020-03-05,-1.7538946714117518,5.447,MXN,0.12833233830577462,-1.8822270097175264
2020-03-06,-1.084132629493538,5.601999999999999,MXN,0.15820939757261088,-1.242342027066149
2020-03-09,0.13125478767591148,6.1339999999999995,MXN,0.2607551751852363,-0.12950038750932477
