date,fitted_clp_oos,res_fx_oos,z_fx_oos,n_train_fx,clp,y10_clp_oos,fitted_y10_clp_oos,res_y10_oos,z_y10_oos,n_train_y10,stress_market_oos,stress_market_oos_30d,regime_oos
2017-10-19,629.9479136360059,-0.007837490614982734,-0.4396804322556064,1255,625.03,4.52340425531915,4.078552314657188,0.44485194066196243,2.868600918878323,1255,1.2144602433113583,0.9474034992846795,Estrés moderado
2017-10-26,630.8748238818638,3.8855329131504135e-4,0.021835015658842945,1260,631.12,4.47083333333333,4.113884121768336,0.35694921156499326,2.2770898353318345,1260,1.1494624254953387,1.0420874586640465,Estrés moderado
2017-11-06,632.2928325363793,-0.002347921609212378,-0.13219340569207308,1265,630.81,4.45,4.037102174469233,0.41289782553076737,2.606206569152542,1265,1.2370065817302343,1.1352684344428643,Estrés moderado
2017-11-13,636.1768695240578,-0.008789016516008274,-0.49579050932642055,1270,630.61,4.45,4.011376402276383,0.43862359772361703,2.7370755087943683,1270,1.120642499733974,1.1894008884538199,Estrés moderado
2017-11-20,632.283603911189,-0.004872969603276545,-0.2752937624985592,1275,629.21,4.48266666666667,4.040540124160721,0.4421265425059495,2.721012654279373,1275,1.222859445890407,1.1899158128137415,Estrés moderado
2017-11-27,628.4332219452598,0.008282760489265684,0.4686112337211494,1280,633.66,4.55733333333333,4.059410489217264,0.4979228441160659,3.0094416173590375,1280,1.7390264255400933,1.2805762702835675,Estrés moderado
2017-12-04,633.4241390389229,0.023953432546761633,1.3566915264106243,1285,648.78,4.63655172413793,4.078551289999496,0.5580004341384344,3.308963432430014,1285,2.332827479420319,1.466970809635061,Estrés moderado
2017-12-12,636.0741733906322,0.030128887378871205,1.7006682028941982,1290,655.53,4.6816,4.129607662767199,0.5519923372328011,3.21599762955166,1290,2.458332916222929,1.6851158914229927,Estrés alto
2017-12-19,635.937239394743,-0.02077810384075729,-1.1718776894180394,1295,622.86,4.62947368421052,4.124588277969934,0.5048854062405859,2.888749586121286,1295,0.8584359483516233,1.622020785859891,Estrés alto
2017-12-27,634.7104878668571,-0.025015233531586745,-1.409886800791413,1300,619.03,4.5268085106383,4.160928564242312,0.36587994639598787,2.0746729617347786,1300,0.3323930804716828,1.490645882649509,Estrés moderado
2018-01-04,627.4454695563369,-0.03669280587991164,-2.0636423454256314,1305,604.84,4.5165688449374,4.222499664894613,0.29406918004278726,1.6606417313031667,1305,-0.20150030706123234,1.2532525904909024,Estrés moderado
2018-01-11,631.3987742941931,-0.03584025997404794,-2.0017259803810687,1310,609.17,4.56928571428571,4.160080050950292,0.40920566333541863,2.299118619046824,1310,0.14869631933287764,0.9881975727896999,Estrés moderado
2018-01-18,635.3212298305176,-0.048918815761932244,-2.7055154082073134,1315,604.99,4.53439024390244,4.146457969787583,0.3879322741148563,2.163198696817189,1315,-0.2711583556950623,0.554199933603803,Condiciones neutrales
2018-01-25,631.6421312458248,-0.04455013204099778,-2.441658867337483,1320,604.12,4.47633333333333,4.222527300410128,0.2538060329232019,1.4064938519204324,1320,-0.5175825077085253,0.05821402961522729,Condiciones neutrales
2018-02-01,632.6264936422829,-0.04754848604948325,-2.573104844238381,1325,603.25,4.53909090909091,4.28577300033691,0.25331790875400007,1.3993682378232262,1325,-0.5868683032075773,-0.18267001231130614,Condiciones neutrales
2018-02-08,636.9420081263416,-0.065549078728389,-3.4787265519642054,1330,596.53,4.54588235294118,4.3076124323950324,0.2382699205461476,1.3091940578932302,1330,-1.0847662470354877,-0.4188632335625012,Condiciones neutrales
2018-02-15,633.11584983534,-0.05930598559611422,-3.091836233987059,1335,596.66,4.53666666666667,4.301121085068168,0.23554558159850192,1.2936136182405333,1335,-0.8991113078732628,-0.5351317336978396,Condiciones neutrales
2018-02-22,627.3482097349943,-0.0534446681949694,-2.7446944038737886,1340,594.7,4.52735294117647,4.342614035431367,0.18473890574510232,1.0132626002576324,1340,-0.8657159018080781,-0.7042004372213323,Condiciones neutrales
2018-03-01,629.183427446837,-0.058200293678384085,-2.9429542552000365,1345,593.61,4.53447368421052,4.288814940912268,0.24565874329825288,1.346234655793151,1345,-0.7983597997034427,-0.7920673445560623,Condiciones benignas
2018-03-08,627.340902269951,-0.04138216418819596,-2.069334297813665,1350,601.91,4.50176470588235,4.3161768928847835,0.1855878129975661,1.0166881596284867,1350,-0.5263230690925891,-0.7935241047867396,Condiciones benignas
2018-03-15,626.9224159945171,-0.041961672465047783,-2.085258272127803,1355,601.16,4.49395348837209,4.313058314798042,0.18089517357404805,0.9901994526047513,1355,-0.5475294097615259,-0.786967622545731,Condiciones benignas
