anio,crecimiento_nominal,tasa_efectiva,balance_primario,sfa_identificado,valorizacion_otros,ajuste_conciliacion,sfa_total,deuda_oficial,naturaleza,escenario,deuda_rezagada,efecto_interes_crecimiento,efecto_balance_primario,efecto_sfa_identificado,efecto_valorizacion_otros,efecto_ajuste_conciliacion,efecto_sfa,deuda_pib,cambio_deuda,balance_primario_estabilizador,brecha_primaria,distancia_nivel_prudente
2034,0.0409999999999999,0.035,0.0025,0.0035,0.003,0.0,0.0065,,Supuesto editable,Menor crecimiento,0.4675958467711453,-0.0026950769266348,-0.0025,0.0035,0.003,0.0,0.0065,0.4689007698445105,0.0013049230733651,0.0038049230733651,-0.0013049230733651,-0.0189007698445105
2035,0.0409999999999999,0.036,0.003,0.003,0.0025,0.0,0.0055,,Supuesto editable,Menor crecimiento,0.4689007698445105,-0.0022521650809054,-0.003,0.003,0.0025,0.0,0.0055,0.4691486047636051,0.0002478349190945805,0.0032478349190945,-0.00024783491909459963,-0.019148604763605
2027,0.0416007991920257,0.0344340149359242,0.0007856745519935655,0.0078141858627845,0.003161772030915,-0.0004062496008887528,0.010569708292810747,0.431920170231312,Calibración a trayectoria oficial compatible con la meta,Mayor tasa de interés,0.426607312003057,-0.002935292071178303,-0.0007856745519935655,0.0078141858627845,0.003161772030915,-0.0004062496008887528,0.010569708292810747,0.43345605367269585,0.006848741669638836,0.007634416221632443,-0.0068487416696388775,0.01654394632730416
2028,0.0459652303136017,0.038770231149831295,0.0010163526236228,0.0071524197144158,0.0053845026022037,-0.00102120093279,0.0115157213838295,0.436738526651375,Calibración a trayectoria oficial compatible con la meta,Mayor tasa de interés,0.43345605367269585,-0.002981663112043667,-0.0010163526236228,0.0071524197144158,0.0053845026022037,-0.00102120093279,0.0115157213838295,0.44097375932085886,0.007517705648163009,0.008534058271785834,-0.007517705648163034,0.009026240679141151
2029,0.0478271712543234,0.04170022133918799,0.0020077599315416,0.0063290488730396,0.0063391095959625,-0.0014306657287935,0.0112374927402086,0.439800050458675,Calibración a trayectoria oficial compatible con la meta,Mayor tasa de interés,0.44097375932085886,-0.00257850169509698,-0.0020077599315416,0.0063290488730396,0.0063391095959625,-0.0014306657287935,0.0112374927402086,0.4476249904344288,0.0066512311135699664,0.008658991045111619,-0.0066512311135700185,0.0023750095655711845
2030,0.0492406667035294,0.0427436014272417,0.002219870331232,0.0054096118408213,0.0064065347029131,-0.0015361505042695,0.010279996039464901,0.440838833631988,Calibración a trayectoria oficial compatible con la meta,Mayor tasa de interés,0.4476249904344288,-0.002771765215017032,-0.002219870331232,0.0054096118408213,0.0064065347029131,-0.0015361505042695,0.010279996039464901,0.4529133509276447,0.005288360493215849,0.007508230824447869,-0.005288360493215869,-0.0029133509276446645
2031,0.051,0.043440429687500004,0.001,0.005,0.0045,0.0,0.0095,,Supuesto editable,Mayor tasa de interés,0.4529133509276447,-0.0032576882224619507,-0.001,0.005,0.0045,0.0,0.0095,0.4581556627051827,0.0052423117775380335,0.006242311777538049,-0.005242311777538049,-0.008155662705182698
2032,0.051,0.045330322265625,0.0015,0.0045,0.004,0.0,0.0085,,Supuesto editable,Mayor tasa de interés,0.4581556627051827,-0.0024715461081992436,-0.0015,0.0045,0.004,0.0,0.0085,0.4626841165969835,0.004528453891800788,0.006028453891800757,-0.0045284538918007565,-0.012684116596983486
2033,0.051,0.04699774169921875,0.002,0.004,0.0035,0.0,0.0075,,Supuesto editable,Mayor tasa de interés,0.4626841165969835,-0.0017619232600284585,-0.002,0.004,0.0035,0.0,0.0075,0.46642219333695506,0.003738076739971563,0.0057380767399715414,-0.0037380767399715414,-0.01642219333695505
2034,0.051,0.048498306274414066,0.0025,0.0035,0.003,0.0,0.006500000000000001,,Supuesto editable,Mayor tasa de interés,0.46642219333695506,-0.0011102240480923883,-0.0025,0.0035,0.003,0.0,0.006500000000000001,0.46931196928886265,0.0028897759519075916,0.005389775951907612,-0.002889775951907612,-0.01931196928886264
